transaction_id,credit_card_no,transaction_type,category,merchant,date
136767830680,4845815609810066,Online,Groceries,Shopee,2022-11-11
305622553709,4845815609810066,Online,Groceries,Qoo10,2022-11-11
334662255674,4845815609810066,Online,Groceries,Amazon,2022-11-11
198658381856,4845815609810066,Non-Online,Groceries,Decathalon,2022-11-11
695039939137,4845815609810066,Non-Online,Retail,7-Eleven,2022-11-11
636028581091,4344839710541903,Online,Groceries,Shopee,2022-11-11
211124344941,4344839710541903,Non-Online,Groceries,Kinokuniya,2022-11-11
438019458070,4344839710541903,Non-Online,Groceries,Isetan,2022-11-11
585392188627,4344839710541903,Non-Online,Retail,7-Eleven,2022-11-11
323346935438,3575996885707347,Online,Groceries,Lazada,2022-11-11
390135263543,3575996885707347,Online,Groceries,Qoo10,2022-11-11
236882933365,3575996885707347,Online,Groceries,eBay,2022-11-11
597145051419,3575996885707347,Non-Online,Groceries,Isetan,2022-11-11
419374555974,3575996885707347,Non-Online,Groceries,Decathalon,2022-11-11
469743545767,180069420012517,Non-Online,Groceries,NTUC Fairprice,2022-11-12
724195943290,180069420012517,Non-Online,Groceries,Don Don Donki,2022-11-12
748730117639,3556132410294048,Online,Groceries,Amazon,2022-11-11
239258153350,3556132410294048,Non-Online,Groceries,Decathalon,2022-11-11
771848270793,3556132410294048,Non-Online,Retail,7-Eleven,2022-11-11
316891374058,3569448485661878,Non-Online,Retail,7-Eleven,2022-11-07
166004024198,6011652765882925,Online,Groceries,Zalora,2022-11-11
341757355257,6011652765882925,Online,Groceries,Qoo10,2022-11-11
294575729723,6011652765882925,Online,Groceries,Zalora,2022-11-11
773551221081,6011652765882925,Non-Online,Groceries,Kinokuniya,2022-11-11
367400918333,6011652765882925,Non-Online,Retail,7-Eleven,2022-11-11
349775652268,213120703907393,Non-Online,Retail,7-Eleven,2022-11-10
860163801510,3545842573024636,Non-Online,Groceries,NTUC Fairprice,2022-11-13
580200677624,4312429065626901,Non-Online,Groceries,Don Don Donki,2022-11-13
139632595036,4312429065626901,Non-Online,Groceries,Don Don Donki,2022-11-13
267086547892,180058200854420,Non-Online,Retail,7-Eleven,2022-11-10
433452493692,342311996692594,Non-Online,Retail,7-Eleven,2022-11-10
758270337702,2702430957671551,Non-Online,Retail,7-Eleven,2022-11-10
472460624990,4037529310525503,Non-Online,Retail,7-Eleven,2022-11-10
367888235346,5599043266219548,Non-Online,Retail,7-Eleven,2022-11-09
734000736772,180039005319611,Non-Online,Retail,7-Eleven,2022-11-08
708763584336,4306575944307275,Non-Online,Retail,7-Eleven,2022-11-09
804941527940,36146093335189,Non-Online,Groceries,Cold Storage,2022-11-13
220234429310,36146093335189,Non-Online,Groceries,Giant Hypermart,2022-11-13
217019441944,4444956529130741,Non-Online,Retail,7-Eleven,2022-11-08
259642659156,343945186499580,Non-Online,Groceries,NTUC Fairprice,2022-11-13
875568428004,4072512319006002,Non-Online,Retail,7-Eleven,2022-11-08
800609974916,6011629261420343,Non-Online,Retail,7-Eleven,2022-11-10
303704336923,4154350040739463,Non-Online,Retail,7-Eleven,2022-11-07
350660667134,3592954457494462,Non-Online,Retail,7-Eleven,2022-11-09
211969804132,3514215431089694,Non-Online,Retail,7-Eleven,2022-11-07
503803997479,2676197868966329,Online,Groceries,Zalora,2022-11-11
244930278151,2676197868966329,Online,Groceries,Qoo10,2022-11-11
506116687796,2676197868966329,Non-Online,Groceries,Isetan,2022-11-11
416638742443,3550164924950779,Non-Online,Retail,7-Eleven,2022-11-08
167090937918,2262777552446538,Non-Online,Retail,7-Eleven,2022-11-08
235210811096,4141112592000744,Non-Online,Retail,7-Eleven,2022-11-10
345209018348,676303157959,Non-Online,Retail,7-Eleven,2022-11-09
174341670765,213154463016079,Non-Online,Retail,7-Eleven,2022-11-08
687342378210,2524710686897767,Online,Groceries,Amazon,2022-11-11
482946587293,2524710686897767,Non-Online,Groceries,Isetan,2022-11-11
740686378745,2524710686897767,Non-Online,Groceries,Pet Lovers Centre,2022-11-11
164991576546,2524710686897767,Non-Online,Groceries,Kinokuniya,2022-11-11
806466065888,2524710686897767,Non-Online,Retail,7-Eleven,2022-11-11
637738915059,3504324765627491,Non-Online,Retail,7-Eleven,2022-11-09
496512308105,346602768741924,Online,Groceries,Shopee,2022-11-11
861391945346,346602768741924,Online,Groceries,Shopee,2022-11-11
175085022452,346602768741924,Online,Groceries,eBay,2022-11-11
194288596302,346602768741924,Non-Online,Groceries,Isetan,2022-11-11
325508549256,346602768741924,Non-Online,Retail,7-Eleven,2022-11-11
241048783975,6588673725323126,Online,Groceries,Amazon,2022-11-11
243721350831,6588673725323126,Non-Online,Groceries,Takashimaya,2022-11-11
532534971670,6588673725323126,Non-Online,Groceries,Pet Lovers Centre,2022-11-11
833790970307,675925132408,Non-Online,Retail,7-Eleven,2022-11-10
668308398377,180035085820502,Online,Groceries,Shopee,2022-11-11
480054017312,180035085820502,Non-Online,Groceries,Kinokuniya,2022-11-11
708790194028,180035085820502,Non-Online,Groceries,Kinokuniya,2022-11-11
862748033206,180035085820502,Non-Online,Groceries,Takashimaya,2022-11-11
844546570964,3532211599482878,Online,Groceries,Zalora,2022-11-11
265911104746,3532211599482878,Online,Groceries,Shopee,2022-11-11
459186648396,3532211599482878,Non-Online,Groceries,Takashimaya,2022-11-11
883500396629,3532211599482878,Non-Online,Groceries,Kinokuniya,2022-11-11
140479404435,3532211599482878,Non-Online,Retail,7-Eleven,2022-11-11
108357865730,4219606732075711,Online,Groceries,Zalora,2022-11-11
368804900278,4219606732075711,Online,Groceries,Shopee,2022-11-11
138508127687,4219606732075711,Online,Groceries,Zalora,2022-11-11
815884426343,4219606732075711,Non-Online,Groceries,Pet Lovers Centre,2022-11-11
429229781839,4219606732075711,Non-Online,Groceries,Kinokuniya,2022-11-11
526263746456,4147330134510304366,Non-Online,Retail,7-Eleven,2022-11-07
266395802348,2709711933505366,Online,Groceries,Qoo10,2022-11-11
628976858064,2709711933505366,Non-Online,Groceries,Takashimaya,2022-11-11
193418148427,2709711933505366,Non-Online,Groceries,Takashimaya,2022-11-11
329519962326,2709711933505366,Non-Online,Groceries,Takashimaya,2022-11-11
719727936266,2709711933505366,Non-Online,Retail,7-Eleven,2022-11-11
360081721474,340784384813794,Online,Groceries,Lazada,2022-11-11
729567849871,340784384813794,Online,Groceries,eBay,2022-11-11
153665589723,340784384813794,Online,Groceries,eBay,2022-11-11
440394977996,340784384813794,Non-Online,Groceries,Decathalon,2022-11-11
311251233064,340784384813794,Non-Online,Retail,7-Eleven,2022-11-11
666876348984,4554496511309447,Non-Online,Retail,7-Eleven,2022-11-08
696037581750,4980298898322106854,Online,Groceries,Qoo10,2022-11-11
184619523488,4980298898322106854,Online,Groceries,eBay,2022-11-11
518763463420,4980298898322106854,Online,Groceries,Lazada,2022-11-11
294545031411,4980298898322106854,Non-Online,Groceries,Kinokuniya,2022-11-11
756844433643,4980298898322106854,Non-Online,Groceries,Takashimaya,2022-11-11
178507227584,4980298898322106854,Non-Online,Groceries,Pet Lovers Centre,2022-11-11
452890494743,4980298898322106854,Non-Online,Retail,7-Eleven,2022-11-11
355936595864,30021700899776,Online,Groceries,Lazada,2022-11-11
311086080715,30021700899776,Online,Groceries,Shopee,2022-11-11
