person_id,credit_card_no
1,4116288127781860000
2,3510241507696810
3,676323694254
4,4908441747292
5,4453739450143800
6,349360941647859
7,4231112027567
8,4480897438017850
9,5153005091633540
10,2718498216012550
11,3548027388022290
12,4419385335722
13,4689116433640810
14,60467135897
15,6011836772937500
16,675923802572
17,4676521021078860
18,341009824356561
19,676332589149
20,3592527161619250
21,4854422248150430
22,180089601679710
23,4312270682626240000
24,3596592683729780
25,4327972038502
26,3531176921153890
27,38037628479105
28,5419773385947160
29,378788553364450
30,4714520509456120
31,4644264439909370000
32,5279525261357910
33,6575932370576280
34,6509113794162100
35,374149549482274
36,4633645894936
37,4004561950622810
38,3583903333707370
39,3564342355139740
40,4585496740635610
41,4944416547334
42,3519607450715640
43,30110679902958
44,4148771718957450
45,2709371323278960
46,3549979737945410
47,4154309745917510
48,30047061957853
49,36382379945066
50,340968549889407
51,6011096411446100
52,630454933155
53,30548563840489
54,4432112493128
55,6510443741814500
56,4718137857015170000
57,374333089224250
58,5167119052883930
59,4369672703571
60,6011488819013190
61,6011251513313520
62,4867352870198
63,5452950323397640
64,213114831351129
65,213189615790916
66,4718667627916
67,5532504634861660
68,4606503388669550
69,3599582159887490
70,4500698828590960000
71,4779062849706270000
72,4608318759137
73,30533649250747
74,6011379806406450
75,4082641834435080000
76,630483046102
77,6593996665657330
78,3565809436516580
79,3590866820182010
80,213109900529209
81,180097175876356
82,374865528941457
83,2715623453099130
84,2237789879693420
85,6011161471256460
86,345910045554429
87,4820244379993
88,5455052369277600
89,6524338927921020
90,4712159733123570
91,4220449518819220000
92,5477727865999930
93,4814853542627390
94,4448132167313500
95,3529731933509800
96,3517886264785040
97,3570757929388420
98,4599331404804710
99,30510230692610
100,4027005293302
101,60436877132
102,213151411311586
103,2350911565941730
104,30590164922944
105,372686054360967
106,4634057188815190000
107,4311670791912440
108,6011728580882990
109,4041872252988820000
110,3550973158766790
111,3557027884339360
112,30146255602190
113,4904825151559880000
114,6011698624055020
115,4606995743269500
116,180090086143784
117,3510050580371010
118,580309964030
119,2230523144401760
120,349089785052880
121,501800282946
122,676285645609
123,2236793214330160
124,180026635953398
125,4723367153178560
126,213182736152892
127,345610140944935
128,2472567900754070
129,3582504319609600
130,36890455675209
131,30188133309911
132,588917315875
133,343648830553527
134,370842233916342
135,347461031313691
136,3572085826973880
137,4739720598033220
138,2275416186773830
139,6534535401258450
140,4490579694984
141,3563142142438900
142,180086492483319
143,30189154354042
144,36014875607805
145,213181012669918
146,60446849386
147,349888962327076
148,4210015633721310000
149,345897775774824
150,3541654415803410
151,4486162925406580
152,2268618361756830
153,2257060892586800
154,6011408549987240
155,4088522715493370
156,6011611515000910
157,2537175822536090
158,3583041016905480
159,6520753641868800
160,180036766959759
161,213183541307515
162,30436073292005
163,5347381467264000
164,4431265945225700000
165,3548712924167840
166,38679542637399
167,6543084080281540
168,6578820026048790
169,6542097454968660
170,4827075020651630
171,3554176041660590
172,3590797158616740
173,180028384029925
174,180061402644110
175,30360667587754
176,4471493220288
177,341843682410932
178,2493013606262950
179,6596607138281600
180,4538432837043910
181,3509475655386790
182,373301339628696
183,377123031339943
184,3517916642355460
185,6011232164046840
186,373914748199875
187,3513153175085880
188,2263981672456500
189,6011750167143680
190,503819279400
191,4113220300208960000
192,341128981813873
193,343057367347727
194,30345432209479
195,4898329803206480000
196,6597166531042150
197,4739619497771560
198,4620864383638680000
199,38184523187365
200,6011284771359860
201,676224571684
202,213197802311115
203,4776243992725
204,213184818402294
205,502073758414
206,574806636258
207,343418647975218
208,4771816449880
209,4455276242590230000
210,3554796743099250
211,4989871315927160000
212,4785265993395190000
213,346095051715764
214,30014205191138
215,563979241491
216,30130439213504
217,3542430171914970
218,6011962512291580
219,4457610764928
220,6519455646848500
221,4001333169009610
222,3577663063378610
223,4729016011597020
224,4625478909421900
225,4402931324866300
226,3568255538550050
227,4479636239511
228,502083398714
229,4760676027484080
230,3563142050753240
231,3519145981285250
232,6011916735841060
233,36007417874164
234,379227867348270
235,6549712206052510
236,3520652146680020
237,3576820183408080
238,2380688103178700
239,502082451795
240,5426043340476100
241,4623004280149570
242,4769838588651
243,373930335319817
244,180065834310745
245,30536228529738
246,3506418891314980
247,4749565943726450
248,2287547268093960
249,4248727003931920
250,502086061830
251,3552203474075600
252,4927457746859530
253,3516648110192050
254,213122624351784
255,4903517846504330000
256,3587248116077680
257,676263471226
258,2708592284365080
259,3537259459878550
260,3504975521139630
261,3586866681107860
262,340541748600063
263,3506875101863920
264,341272840781861
265,5213306143613270
266,4651554595284050
267,38696536200141
268,4376546355741180
269,569829906712
270,38852613556455
271,213172354711434
272,6519261152039560
273,4571092995532530
274,4310722223251
275,6505632466175790
276,676397376994
277,343811972067116
278,4447001180546990
279,676108133478
280,2275735693067930
281,180004020709121
282,4746494749066
283,30531423744513
284,4492355798642830
285,180056279464113
286,4418030020139630
287,378102584242562
288,4978564953830200000
289,349739070154045
290,4988940430509
291,180034947550589
292,3516170163950550
293,6011651546031570
294,3509848606698170
295,2324696452296890
296,180051986087646
297,3592405801609840
298,4656449780902
299,6011234357212840
300,2271512730741210
301,676137888456
302,3562368139768710
303,2547483405026150
304,343439238144758
305,4398562815708
306,4179816523193
307,4761737129736530
308,4110975270433830000
309,213164818205897
310,3503885086568750
311,3559602643998960
312,2700612594089070
313,345938708348177
314,4572615970399490000
315,4085471558795130
316,3546820522644330
317,675955376602
318,503854651604
319,4262928144239080000
320,501844092012
321,343264831610785
322,4882511421841
323,676351849879
324,2244707377702440
325,2709775779118140
326,6555707128935340
327,4325887375258
328,213146261327864
329,4800653488467450
330,4923990227450500
331,213144492757405
332,60450221589
333,6011667769793120
334,340425877398121
335,3530898857717080
336,4969085116196140
337,501816073602
338,3592453583436270
339,30459296281449
340,6585436747563650
341,4534772599919010
342,4718564990640470
343,30009980261239
344,675955529689
345,344125912917762
346,213118751538557
347,373768433950343
348,4297950085090
349,3592841854441640
350,30512670202355
351,372816118578169
352,6011327462434850
353,4771802316960520000
354,4152201535403
355,2297519647001900
356,342578590800233
357,4910717932748860000
358,340192898754597
